"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"co25","Northern Territory Herbarium (Darwin)","","Records provided by Northern Territory Herbarium (Darwin), accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co25","","","","878"
"dr11049","Martin Butterfield Mallacoota Observations","10.15468/vv31t9","Martin Butterfield, Mallacoota Observations, 2019","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) Martin Butterfield","For more information: https://collections.ala.org.au/public/show/dr11049","","","","126"
"dr2262","ERBG AVH data","10.15468/swmlas","Records provided by ERBG AVH data, accessed through ALA website.","Creative Commons Attribution-Noncommercial (International) (CC-BY-NC 4.0 (Int)) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collections.ala.org.au/public/show/dr2262","","","","229"
"dr29495","International Barcode of Life project (iBOL)","10.15468/inygc6","The International Barcode of Life Consortium (2024). International Barcode of Life project (iBOL). Occurrence dataset https://doi.org/10.15468/inygc6 accessed via GBIF.org on 2025-02-04.","CC BY","For more information: https://collections.ala.org.au/public/show/dr29495","","","","117"
"co114","Australian Museum Malacology Collection","","Records provided by Australian Museum Malacology Collection, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co114","","","","2"
"dp3903","BioCollect","","Records provided by BioCollect, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp3903","","","","10"
"dr1856","Salinity Action Plan Flora Survey","10.15468/eorftz","Salinity Action Plan Flora Survey. NatureMap: Mapping Western Australia's Biodiversity. Department of Environment and Conservation. URL: http://naturemap.dec.wa.gov.au/","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) Conditions of Access All users need to acknowledge and agree to the following conditions before using NatureMap content: Data within NatureMap is provided with the participation and good will of data custodians and I will endeavour, where possible, to seek a collaborative approach with custodians in any research or papers published using NatureMap data. Re-sale of raw data or the commercial use of images or descriptive text (other than generated maps, species lists and reports) on this site is unauthorised unless written permission is obtained from the Department of Environment and Conservation (DEC). Appropriate and full acknowledgement of DEC and species data custodians (see Data Directory) must always be given in any publication that includes data sourced here. Data provided through NatureMap represents positive records of flora and fauna occurrence. The absence of a record should not be taken to mean flora or fauna is necessarily absent from an area. (To minimise the effect of data gaps, a buffer area should be applied that is reflective of the likelihood of surveys or collections having been undertaken in the target area.) My username and password will not be passed on to any other person or organisation. DEC and data custodians reserve the right to revoke registration if the above conditions of access are not complied with. I will notify DEC if any relevant conditions change that might affect my NatureMap authorisation level. Also note: Custodians have kindly granted permission to allow relatively large subsets of data to be downloaded for a wide range of uses, including within a commercial context. Note, however, it is not NatureMap policy to allow the downloading of entire datasets It is current custodian policy to only grant Advanced Access (see the Registration page) for bona fide research or conservation planning purposes. This does not extend to use within a commercial context. While this may appear restrictive, in fact basic registration provides a great deal of information on both conservation and non-conservation taxa, and all users are encouraged to explore NatureMap's sophisticated querying and mapping capabilities. DEC's Species and Communities Branch continues to provide information on detailed localities of conservation taxa to consultants and other commercial users on a fee-for-service basis. Fair Use Guidlines As stated above, we want as many people as possible to make use of the data available within NatureMap, so long as that use is ""fair"". It is considered fair for anyone to use information from NatureMap for conservation or planning purposes, including incorporating that information into reports or papers, or summarising and value-adding to data. It is not considered fair use to download raw data and on-sell it. That would contravene copyright. It is also bad business, because anyone could obtain the same data directly from NatureMap. Of particular note: Maps, species lists, reports and raw data may be freely used by anyone, including commercial consultants, for research, planning, generating reports and compilations, or for personal use, so long as the above conditions of access are complied with. Raw data, i.e. bulk detail records of individual locations that have been downloaded from NatureMap and not summarised, compiled or modified in any substantial way, may not be on-sold or rebadged without written permission from the Department of Environment and Conservation (DEC). This is consistent with Australian Copyright law. Other descriptive text and images, such as Thematic content on wetlands or ecological attributes, remain the property of NatureMap and copyright holders and may not be used without written permission from DEC. For full terms of use see Copyright page at http://naturemap.dec.wa.gov.au/default.aspx","For more information: https://collections.ala.org.au/public/show/dr1856","","","","1066"
"dr1857","Greenstone Ranges Survey","10.15468/mbh3np","Greenstone Ranges Survey. NatureMap: Mapping Western Australia's Biodiversity. Department of Environment and Conservation. URL: http://naturemap.dec.wa.gov.au/","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) Conditions of Access All users need to acknowledge and agree to the following conditions before using NatureMap content: Data within NatureMap is provided with the participation and good will of data custodians and I will endeavour, where possible, to seek a collaborative approach with custodians in any research or papers published using NatureMap data. Re-sale of raw data or the commercial use of images or descriptive text (other than generated maps, species lists and reports) on this site is unauthorised unless written permission is obtained from the Department of Environment and Conservation (DEC). Appropriate and full acknowledgement of DEC and species data custodians (see Data Directory) must always be given in any publication that includes data sourced here. Data provided through NatureMap represents positive records of flora and fauna occurrence. The absence of a record should not be taken to mean flora or fauna is necessarily absent from an area. (To minimise the effect of data gaps, a buffer area should be applied that is reflective of the likelihood of surveys or collections having been undertaken in the target area.) My username and password will not be passed on to any other person or organisation. DEC and data custodians reserve the right to revoke registration if the above conditions of access are not complied with. I will notify DEC if any relevant conditions change that might affect my NatureMap authorisation level. Also note: Custodians have kindly granted permission to allow relatively large subsets of data to be downloaded for a wide range of uses, including within a commercial context. Note, however, it is not NatureMap policy to allow the downloading of entire datasets It is current custodian policy to only grant Advanced Access (see the Registration page) for bona fide research or conservation planning purposes. This does not extend to use within a commercial context. While this may appear restrictive, in fact basic registration provides a great deal of information on both conservation and non-conservation taxa, and all users are encouraged to explore NatureMap's sophisticated querying and mapping capabilities. DEC's Species and Communities Branch continues to provide information on detailed localities of conservation taxa to consultants and other commercial users on a fee-for-service basis. Fair Use Guidlines As stated above, we want as many people as possible to make use of the data available within NatureMap, so long as that use is ""fair"". It is considered fair for anyone to use information from NatureMap for conservation or planning purposes, including incorporating that information into reports or papers, or summarising and value-adding to data. It is not considered fair use to download raw data and on-sell it. That would contravene copyright. It is also bad business, because anyone could obtain the same data directly from NatureMap. Of particular note: Maps, species lists, reports and raw data may be freely used by anyone, including commercial consultants, for research, planning, generating reports and compilations, or for personal use, so long as the above conditions of access are complied with. Raw data, i.e. bulk detail records of individual locations that have been downloaded from NatureMap and not summarised, compiled or modified in any substantial way, may not be on-sold or rebadged without written permission from the Department of Environment and Conservation (DEC). This is consistent with Australian Copyright law. Other descriptive text and images, such as Thematic content on wetlands or ecological attributes, remain the property of NatureMap and copyright holders and may not be used without written permission from DEC. For full terms of use see Copyright page at http://naturemap.dec.wa.gov.au/default.aspx","For more information: https://collections.ala.org.au/public/show/dr1857","","","","37"
"dp3227","FieldData / Biological Data Recording System","","Records provided by FieldData / Biological Data Recording System, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp3227","","","","14"
"dr661","Elgin Road 3 year observations","10.15468/saszmb","Pheona Anderson, 2011","CC-BY","For more information: https://collections.ala.org.au/public/show/dr661","","","","2"
"dr545","Tumbi Wetlands","10.15468/gebign","Ian Robb, www.tumbiwetlands.com.au, (Genus:Species)","CC-BY","For more information: https://collections.ala.org.au/public/show/dr545","","","","3"
"dr669","The Orchid Atlas of Western Australia","10.15468/72oxsl","The Orchid Atlas of Western Australia. NatureMap: Mapping Western Australia's Biodiversity. Department of Environment and Conservation. URL: http://naturemap.dec.wa.gov.au/","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) Conditions of Access 

All users need to acknowledge and agree to the following conditions before using NatureMap content: 

Data within NatureMap is provided with the participation and good will of data custodians and I will endeavour, where possible, to seek a collaborative approach with custodians in any research or papers published using NatureMap data. 
Re-sale of raw data or the commercial use of images or descriptive text (other than generated maps, species lists and reports) on this site is unauthorised unless written permission is obtained from the Department of Environment and Conservation (DEC). 
Appropriate and full acknowledgement of DEC and species data custodians (see Data Directory) must always be given in any publication that includes data sourced here. 
Data provided through NatureMap represents positive records of flora and fauna occurrence. The absence of a record should not be taken to mean flora or fauna is necessarily absent from an area. (To minimise the effect of data gaps, a buffer area should be applied that is reflective of the likelihood of surveys or collections having been undertaken in the target area.) 
My username and password will not be passed on to any other person or organisation. 
DEC and data custodians reserve the right to revoke registration if the above conditions of access are not complied with. 
I will notify DEC if any relevant conditions change that might affect my NatureMap authorisation level. 
Also note: 

Custodians have kindly granted permission to allow relatively large subsets of data to be downloaded for a wide range of uses, including within a commercial context. Note, however, it is not NatureMap policy to allow the downloading of entire datasets 
It is current custodian policy to only grant Advanced Access (see the Registration page) for bona fide research or conservation planning purposes. This does not extend to use within a commercial context. While this may appear restrictive, in fact basic registration provides a great deal of information on both conservation and non-conservation taxa, and all users are encouraged to explore NatureMap's sophisticated querying and mapping capabilities. DEC's Species and Communities Branch continues to provide information on detailed localities of conservation taxa to consultants and other commercial users on a fee-for-service basis. 
Fair Use Guidlines 

As stated above, we want as many people as possible to make use of the data available within NatureMap, so long as that use is ""fair"". It is considered fair for anyone to use information from NatureMap for conservation or planning purposes, including incorporating that information into reports or papers, or summarising and value-adding to data. 

It is not considered fair use to download raw data and on-sell it. That would contravene copyright. It is also bad business, because anyone could obtain the same data directly from NatureMap. 

Of particular note:

Maps, species lists, reports and raw data may be freely used by anyone, including commercial consultants, for research, planning, generating reports and compilations, or for personal use, so long as the above conditions of access are complied with. 
Raw data, i.e. bulk detail records of individual locations that have been downloaded from NatureMap and not summarised, compiled or modified in any substantial way, may not be on-sold or rebadged without written permission from the Department of Environment and Conservation (DEC). This is consistent with Australian Copyright law. 
Other descriptive text and images, such as Thematic content on wetlands or ecological attributes, remain the property of NatureMap and copyright holders and may not be used without written permission from DEC. 

For full terms of use see Copyright page at

http://naturemap.dec.wa.gov.au/default.aspx","For more information: https://collections.ala.org.au/public/show/dr669","","","","9059"
"dp15","Australian Antarctic Data Centre","","Records provided by Australian Antarctic Data Centre, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp15","","","","32"
"co12","Australian National Herbarium","","Records provided by Australian National Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co12","","","","66808"
"dr15772","Janet Cosh Herbarium (WOLL) AVH data","10.15468/vqth7r","Records provided by Janet Cosh Herbarium (WOLL) AVH data, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collections.ala.org.au/public/show/dr15772","","","","181"
"dr22502","Naturalis Biodiversity Center (NL) - Botany","10.15468/ib5ypt","Bijmoer R, Arias Guerrero S, Creuwels J (2024). Naturalis Biodiversity Center (NL) - Botany. Naturalis Biodiversity Center. Occurrence dataset https://doi.org/10.15468/ib5ypt accessed via GBIF.org on 2025-02-07.","Creative Commons Zero (CC0)","For more information: https://collections.ala.org.au/public/show/dr22502","","","","1197"
"dr22501","Natural History Museum (London) Collection Specimens","10.5519/qd.yboalfmf","https://doi.org/10.5519/qd.yboalfmf","Creative Commons Zero (CC0)","For more information: https://collections.ala.org.au/public/show/dr22501","","","","2592"
"dr22500","NMNH Extant Specimen Records (USNM, US)","10.15468/hnhrg3","Orrell T, Informatics and Data Science Center - Digital Stewardship (2024). NMNH Extant Specimen Records (USNM, US). Version 1.89. National Museum of Natural History, Smithsonian Institution. Occurrence dataset https://doi.org/10.15468/hnhrg3 accessed via GBIF.org on 2024-12-19.","Creative Commons Zero (CC0)","For more information: https://collections.ala.org.au/public/show/dr22500","","","","326"
"dr2153","New Zealand Virtual Herbarium","","Records provided by New Zealand Virtual Herbarium, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License. Data from this data set should be attributed to the New Zealand Virtual Herbarium (NZVH). You may do so in any reasonable way. 

Recommended citation: NZVH (<<current year>>). New Zealand Virtual Herbarium Dataset, Council of Heads of Australasian Herbaria, < http://avh.chah.org.au >, accessed <<date of access>>.","For more information: https://collections.ala.org.au/public/show/dr2153","","","","268"
"dr2150","Tallagnada Orchids","10.15468/bz4ra8","M Butterfield 7/11/2013","CC-BY","For more information: https://collections.ala.org.au/public/show/dr2150","","","","13"
"dr4577","ACT BioBlitz","10.15468/yd7e5a","ACT BioBlitz","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) ACT BioBlitz","For more information: https://collections.ala.org.au/public/show/dr4577","","","","14"
"dr22186","Edith Cowan University - Robert Brown Herbarium","","Records provided by Edith Cowan University - Robert Brown Herbarium, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int) 4.0)Creative Commons Attribution (International) (CC-BY 4.0 (Int) 4.x)","For more information: https://collections.ala.org.au/public/show/dr22186","","","","28"
"in4","Australian Museum","","Records provided by Australian Museum, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in4","","","","2"
"in5","Centre for Australian National Biodiversity Research","","Records provided by Centre for Australian National Biodiversity Research, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in5","","","","66808"
"dr7729","Banksia Woodlands Restoration Project Survey","10.15468/sqn34j","Banksia Woodlands Restoration Project Survey. NatureMap: Mapping Western Australia's Biodiversity. Department of Environment and Conservation. URL: https://naturemap.dpaw.wa.gov.au/","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) Conditions of Access All users need to acknowledge and agree to the following conditions before using NatureMap content: Data within NatureMap is provided with the participation and good will of data custodians and I will endeavour, where possible, to seek a collaborative approach with custodians in any research or papers published using NatureMap data. Re-sale of raw data or the commercial use of images or descriptive text (other than generated maps, species lists and reports) on this site is unauthorised unless written permission is obtained from the Department of Environment and Conservation (DEC). Appropriate and full acknowledgement of DEC and species data custodians (see Data Directory) must always be given in any publication that includes data sourced here. Data provided through NatureMap represents positive records of flora and fauna occurrence. The absence of a record should not be taken to mean flora or fauna is necessarily absent from an area. (To minimise the effect of data gaps, a buffer area should be applied that is reflective of the likelihood of surveys or collections having been undertaken in the target area.) My username and password will not be passed on to any other person or organisation. DEC and data custodians reserve the right to revoke registration if the above conditions of access are not complied with. I will notify DEC if any relevant conditions change that might affect my NatureMap authorisation level. Also note: Custodians have kindly granted permission to allow relatively large subsets of data to be downloaded for a wide range of uses, including within a commercial context. Note, however, it is not NatureMap policy to allow the downloading of entire datasets It is current custodian policy to only grant Advanced Access (see the Registration page) for bona fide research or conservation planning purposes. This does not extend to use within a commercial context. While this may appear restrictive, in fact basic registration provides a great deal of information on both conservation and non-conservation taxa, and all users are encouraged to explore NatureMap's sophisticated querying and mapping capabilities. DEC's Species and Communities Branch continues to provide information on detailed localities of conservation taxa to consultants and other commercial users on a fee-for-service basis. Fair Use Guidlines As stated above, we want as many people as possible to make use of the data available within NatureMap, so long as that use is ""fair"". It is considered fair for anyone to use information from NatureMap for conservation or planning purposes, including incorporating that information into reports or papers, or summarising and value-adding to data. It is not considered fair use to download raw data and on-sell it. That would contravene copyright. It is also bad business, because anyone could obtain the same data directly from NatureMap. Of particular note: Maps, species lists, reports and raw data may be freely used by anyone, including commercial consultants, for research, planning, generating reports and compilations, or for personal use, so long as the above conditions of access are complied with. Raw data, i.e. bulk detail records of individual locations that have been downloaded from NatureMap and not summarised, compiled or modified in any substantial way, may not be on-sold or rebadged without written permission from the Department of Environment and Conservation (DEC). This is consistent with Australian Copyright law. Other descriptive text and images, such as Thematic content on wetlands or ecological attributes, remain the property of NatureMap and copyright holders and may not be used without written permission from DEC. For full terms of use see Copyright page at https://naturemap.dec.wa.gov.au/","For more information: https://collections.ala.org.au/public/show/dr7729","","","","198"
"dr893","BowerBird","","Records provided by BowerBird, accessed through ALA website.","Creative Commons - license at record level (Creative Commons - license at record level) The rights of material uploaded by users to the BowerBird website are owned by those users. Each user will nominate the type of license that can apply to their content - BowerBird encourages the Creative Commons License but users have the right to deny use of their content. Please respect the license wishes of the user's content.

For all other material, including the content, design and source code of BowerBird other than user-contributed material, is under the Open Source and Creative Commons licenses. You may use this material.","For more information: https://collections.ala.org.au/public/show/dr893","","","","830"
"dr30003","Bernice P. Bishop Museum","10.15468/s6ctus","Pyle R (2016). Bernice P. Bishop Museum. Version 8.1. Bernice Pauahi Bishop Museum. Occurrence dataset https://doi.org/10.15468/s6ctus accessed via GBIF.org on 2025-02-12.","Creative Commons Zero (CC0)","For more information: https://collections.ala.org.au/public/show/dr30003","","","","18"
"dr30004","Botany (UPS)","10.15468/ufmslw","Myrdal M (2022). Botany (UPS). Museum of Evolution, Uppsala University. Occurrence dataset https://doi.org/10.15468/ufmslw accessed via GBIF.org on 2025-02-12.","Creative Commons Zero (CC0)","For more information: https://collections.ala.org.au/public/show/dr30004","","","","17"
"dr1744","Wyndham Weeds","10.15468/jtqdf2","Norm Clarke, Wyndham Weeds.","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au))","For more information: https://collections.ala.org.au/public/show/dr1744","","","","1"
"dr417","Weeds Australia","10.15468/iil2ac","The Weeds Australia Profiles are managed by the Centre for Invasive Species Solutions","Creative Commons Attribution (International) (CC-BY 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr417","","","","3"
"co17","Australian Tropical Herbarium","","Records provided by Australian Tropical Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co17","","","","4793"
"dr413","Australian Plant Image Index","","Records provided by Australian Plant Image Index, accessed through ALA website.","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au)) How to cite the APII is given at: http://www.anbg.gov.au/citation.html
For further information, contact the APII Photograph Curator. 
        Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0) 
        Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0)","For more information: https://collections.ala.org.au/public/show/dr413","","","","2079"
"dr534","Richard Hartland","10.15468/td9tdg","Richard Hartland","CC-BY","For more information: https://collections.ala.org.au/public/show/dr534","","","","161"
"dr19100","Nature of Eyre Peninsula BioBlitz","","BioBlitz Survey: Eyre Peninsula Natural Resources Management Board (2022) BioBlitz Survey dataset
","other","For more information: https://collections.ala.org.au/public/show/dr19100","","","","2"
"dr22509","Microbial communities in estuarine sediments","10.15468/y8s1y5","MGnify (2019). Microbial communities in estuarine sediments. Sampling event dataset https://doi.org/10.15468/y8s1y5 accessed via GBIF.org on 2024-12-12.","CC BY","For more information: https://collections.ala.org.au/public/show/dr22509","","","","1"
"dp36","Australia's Virtual Herbarium","","Records provided by Australia's Virtual Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp36","","","","165170"
"dr15863","Western Australian Herbarium (PERTH) AVH data","10.15468/9rkjjq","Records provided by Western Australian Herbarium (PERTH) AVH data, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collections.ala.org.au/public/show/dr15863","","","","19726"
"co255","National Forestry Herbarium","","Records provided by National Forestry Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co255","","","","594"
"co253","Lincoln University Herbarium","","Records provided by Lincoln University Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co253","","","","266"
"dr15861","NSW AVH feed","10.15468/jf3yae","Records provided by NSW AVH feed, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) This work is licensed under a
            Creative Commons Attribution (CC-BY) 4.0 License
             .","For more information: https://collections.ala.org.au/public/show/dr15861","","","","17368"
"dp34","Department of Planning, Industry and Environment representing the State of New South Wales","","Records provided by Department of Planning, Industry and Environment representing the State of New South Wales, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp34","","","","77140"
"dr15860","Centre for Australian National Biodiversity Research (CANB) AVH data","10.15468/xycuk7","Records provided by Centre for Australian National Biodiversity Research (CANB) AVH data, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collections.ala.org.au/public/show/dr15860","","","","66808"
"co254","Dame Ella Campbell Herbarium","","Records provided by Dame Ella Campbell Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co254","","","","93"
"dr21987","Victorian Conservation Seed Bank","10.15468/x2g79q","Records provided by Victorian Conservation Seed Bank, accessed through ALA website.","Creative Commons Attribution-Noncommercial (Australia) (CC-BY-NC 3.0 (Aus)) Creative Commons Attribution (International) (CC-BY 4.0 (Int) 4.0) 
        Creative Commons Attribution (International) (CC-BY 4.0 (Int) 4.0)Creative Commons Attribution (International) (CC-BY 4.0 (Int) 4.x) 
        Creative Commons Attribution-Noncommercial (Australia) (CC-BY-NC 3.0 (Aus) 3.0)","For more information: https://collections.ala.org.au/public/show/dr21987","","","","136"
"dr15867","Australian Tropical Herbarium (CNS) AVH data","10.15468/xunb57","Records provided by Australian Tropical Herbarium (CNS) AVH data, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collections.ala.org.au/public/show/dr15867","","","","4793"
"dp32","South Australia, Department for Environment and Water","","Records provided by South Australia, Department for Environment and Water, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp32","","","","43194"
"dr21986","Tasmanian Seed Conservation Centre","10.15468/czv7hg","Records provided by Tasmanian Seed Conservation Centre, accessed through ALA website.","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au)) Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0) 
        Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0) 
        Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0)","For more information: https://collections.ala.org.au/public/show/dr21986","","","","62"
"dr15866","Northern Territory Herbarium (DNA) AVH data","10.15468/e46kae","Records provided by Northern Territory Herbarium (DNA) AVH data, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collections.ala.org.au/public/show/dr15866","","","","878"
"dr15865","AD AVH Data","10.15468/z6vaed","Records provided by AD AVH Data, accessed through ALA website.","This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collections.ala.org.au/public/show/dr15865","","","","15493"
"dr21985","National Seed Bank","10.15468/kyg9he","Records provided by National Seed Bank, accessed through ALA website.","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au)) Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0)","For more information: https://collections.ala.org.au/public/show/dr21985","","","","37"
"dp30","Northern Territory Department of Environment and Natural Resources","","Records provided by Northern Territory Department of Environment and Natural Resources, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp30","","","","852"
"co250","University of Canterbury Herbarium","","Records provided by University of Canterbury Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co250","","","","1"
"dr15869","La Trobe University Herbarium (LTB) AVH data","10.15468/khpvn8","Records provided by La Trobe University Herbarium (LTB) AVH data, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collections.ala.org.au/public/show/dr15869","","","","75"
"in544","Eurobodalla Regional Botanic Garden","","Records provided by Eurobodalla Regional Botanic Garden, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in544","","","","229"
"dr15868","James Cook University Herbarium (JCT) AVH data","10.15468/mzbw85","Records provided by James Cook University Herbarium (JCT) AVH data, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collections.ala.org.au/public/show/dr15868","","","","113"
"dr2287","BRI AVH Data and Images","10.15468/jsffsa","Records provided by BRI AVH Data and Images, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collections.ala.org.au/public/show/dr2287","","","","9076"
"co258","Queen Victoria Museum and Art Gallery - Invertebrates","","Records provided by Queen Victoria Museum and Art Gallery - Invertebrates, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co258","","","","1"
"dr7858","Advanced Ecological Knowledge and Observation System","","Each record contained in this data resource is subject to its own licence, with details included in the bibliographicCitation field. The University of Adelaide permits you to use this portal to access the data subject to the relevant licence.","Creative Commons - license at record level (Creative Commons - license at record level)","For more information: https://collections.ala.org.au/public/show/dr7858","","","","60"
"dr440","ALA website image uploads","doi:10.15468/2ed84i","Records provided by ALA website image uploads, accessed through ALA website.","CC-BY","For more information: https://collections.ala.org.au/public/show/dr440","","","","21"
"dr15870","N.C.W. Beadle Herbarium (NE) AVH data","10.15468/7t5ghf","Records provided by N.C.W. Beadle Herbarium (NE) AVH data, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collections.ala.org.au/public/show/dr15870","","","","1939"
"dr689","NSW South Coast & ACT plants","10.15468/px2xfi","Records provided by NSW South Coast & ACT plants, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) Don & Betty Wood","For more information: https://collections.ala.org.au/public/show/dr689","","","","522"
"co48","State Herbarium of South Australia","","Records provided by State Herbarium of South Australia, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co48","","","","15493"
"co49","Queensland Herbarium","","Records provided by Queensland Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co49","","","","9076"
"co33","La Trobe University Herbarium","","Records provided by La Trobe University Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co33","","","","75"
"co31","James Cook University Herbarium","","Records provided by James Cook University Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co31","","","","113"
"co32","Kings Park and Botanic Garden","","Records provided by Kings Park and Botanic Garden, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co32","","","","266"
"dp20","OZCAM (Online Zoological Collections of Australian Museums) Provider","","Records provided by OZCAM (Online Zoological Collections of Australian Museums) Provider, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp20","","","","27"
"dr14787","John T. Waterhouse Herbarium (UNSW) AVH data","10.15468/3r76br","Records provided by John T. Waterhouse Herbarium (UNSW) AVH data, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collections.ala.org.au/public/show/dr14787","","","","56"
"dr21992","The Western Australian Seed Centre (Kensington)","10.15468/yhx3en","Records provided by The Western Australian Seed Centre (Kensington), accessed through ALA website.","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au)) Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0) 
        Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0) 
        Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0)","For more information: https://collections.ala.org.au/public/show/dr21992","","","","26"
"dr21991","The Western Australian Seed Centre (Kings Park)","10.15468/kyqzzj","Records provided by The Western Australian Seed Centre (Kings Park), accessed through ALA website.","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au)) Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0) 
        Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0) 
        Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0) 
        Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0) 
        Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0)","For more information: https://collections.ala.org.au/public/show/dr21991","","","","870"
"co249","Auckland War Memorial Museum  Herbarium","","Records provided by Auckland War Memorial Museum  Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co249","","","","5120"
